ROAD_CLASS,DISTRICT,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,IMPACTYPE,INVTYPE,VEHTYPE,HOUR,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,PEDESTRIAN,PASSENGER,POLICE_DIVISION,HOOD_ID,month
Major Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Turning Movement,Driver,Automobile,16,0,1,0,0,1,0,0,1,0,0,0,0,1,11,89,7
Major Arterial,Scarborough,Mid-Block,Other,No Control,Clear,Dawn,Dry,Approaching,Vehicle Owner,Other,6,0,1,0,0,0,0,0,1,0,0,0,0,0,41,126,3
Major Arterial,Scarborough,Mid-Block,At Intersection,No Control,Clear,Daylight,Dry,Sideswipe,Driver,Automobile,9,0,1,0,0,0,0,0,0,0,0,1,0,0,43,139,12
Major Arterial,North York,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Rear End,Other,Other,19,0,1,0,0,0,0,1,1,0,0,0,0,0,33,42,6
Major Arterial,Etobicoke York,Mid-Block,Other,No Control,Clear,Daylight,Dry,Approaching,Other,Other,16,0,1,0,0,0,0,0,0,0,0,0,0,1,23,1,11
Local,Toronto and East York,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Pedestrian Collisions,Pedestrian,Other,12,0,1,0,0,0,0,0,0,0,0,0,1,0,53,98,12
Major Arterial,Etobicoke York,Mid-Block,Non Intersection,No Control,Rain,Daylight,Wet,Sideswipe,Passenger,Automobile,10,0,1,0,0,0,0,1,1,0,0,0,0,1,11,90,9
Major Arterial,Toronto and East York,Intersection,Other,Traffic Signal,Clear,Dark,Dry,SMV Other,Vehicle Owner,Other,3,0,1,0,0,0,0,0,0,0,0,0,0,0,55,70,11
Minor Arterial,Toronto and East York,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Pedestrian Collisions,Driver,Automobile,9,0,1,0,0,0,0,0,0,0,0,0,1,0,51,77,3
Major Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Rain,Dawn,Wet,Pedestrian Collisions,Driver,Automobile,6,0,1,0,0,0,0,0,1,0,0,0,1,0,14,85,2
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Other,Driver,Bus,16,0,0,0,0,1,0,0,0,0,0,0,0,1,41,126,7
Minor Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Cyclist Collisions,Cyclist Passenger,2 Wheels,8,1,1,0,0,0,0,0,0,0,0,0,0,0,11,83,10
Minor Arterial,Toronto and East York,Mid-Block,Other,No Control,Clear,Daylight,Dry,Sideswipe,Vehicle Owner,Other,16,0,1,0,0,1,0,0,0,0,0,0,0,0,52,77,9
Local,Toronto and East York,Mid-Block,At/Near Private Drive,No Control,Clear,Daylight,Dry,Pedestrian Collisions,Driver,Automobile,11,0,1,0,0,0,0,0,0,0,0,0,1,0,41,122,10
Major Arterial,Etobicoke York,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Turning Movement,Motorcycle Passenger,2 Wheels,18,0,1,1,0,0,0,1,1,0,0,0,0,0,12,110,9
Major Arterial,North York,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Pedestrian Collisions,Driver,Automobile,17,0,1,0,0,0,0,0,1,0,0,0,1,0,41,120,12
Major Arterial,Scarborough,Mid-Block,Other,No Control,Clear,Daylight,Dry,Approaching,Driver,Automobile,12,0,1,0,1,0,0,0,0,0,0,0,0,1,41,126,7
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Vehicle Owner,Other,14,0,0,0,1,0,0,0,1,0,0,0,1,0,42,118,10
Major Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Rain,Dark,Wet,Pedestrian Collisions,Pedestrian,Other,1,0,1,0,0,0,0,0,0,0,0,0,1,0,13,92,6
Major Arterial,Etobicoke York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Pedestrian,Other,10,0,1,0,0,0,0,0,1,1,0,0,1,0,31,25,3
Major Arterial,North York,Mid-Block,Non Intersection,No Control,Clear,Dark,Wet,Pedestrian Collisions,Pedestrian,Other,17,0,1,0,0,0,0,0,0,0,0,0,1,0,31,27,12
Major Arterial,Toronto and East York,Intersection,Other,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Pedestrian,Other,13,0,1,0,0,0,0,0,1,0,0,0,1,1,52,77,7
Minor Arterial,Scarborough,Mid-Block,At Intersection,No Control,Clear,Daylight,Wet,Angle,Passenger,Automobile,7,0,1,0,0,0,0,0,0,0,0,0,0,1,42,129,1
Major Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Sideswipe,Passenger,Other,9,0,1,0,0,0,0,0,0,0,0,1,0,1,11,88,4
Major Arterial,Scarborough,Intersection,Other,Traffic Signal,Clear,Daylight,Dry,Approaching,Driver,Automobile,9,0,1,0,0,0,0,0,0,0,0,0,0,0,41,125,12
Major Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Turning Movement,Driver,Automobile,20,0,1,0,0,0,0,0,1,1,0,0,0,1,14,82,2
Collector,Scarborough,Mid-Block,Other,No Control,Clear,Daylight,Dry,Turning Movement,Motorcycle Passenger,2 Wheels,7,0,1,1,0,0,0,0,0,0,0,0,0,0,42,130,10
Local,Toronto and East York,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Pedestrian Collisions,Pedestrian,Other,17,0,1,0,0,0,0,0,0,0,0,0,1,0,55,62,4
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Pedestrian Collisions,Vehicle Owner,Other,20,0,1,0,0,0,0,0,0,0,0,0,1,0,42,131,4
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Cyclist Collisions,Driver,Automobile,21,1,1,0,0,0,0,0,1,0,0,0,0,0,41,124,9
Major Arterial,Etobicoke York,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Angle,Driver,Bus,0,0,1,0,0,1,0,0,1,1,0,0,0,1,23,21,8
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Driver,Bus,7,0,0,0,0,1,0,0,1,0,0,0,1,0,42,116,11
Major Arterial,Toronto and East York,Mid-Block,Other,No Control,Clear,Dark,Dry,Pedestrian Collisions,Driver,Automobile,21,0,1,0,0,0,0,0,0,0,0,0,1,0,13,107,6
Minor Arterial,Scarborough,Intersection,At Intersection,No Control,Clear,Dark,Dry,SMV Other,Passenger,Other,1,0,1,0,0,0,0,0,0,0,0,0,0,1,42,131,4
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Cyclist Collisions,Cyclist Passenger,2 Wheels,10,1,1,0,0,0,0,0,0,0,0,0,0,0,42,116,10
Major Arterial,Toronto and East York,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Cyclist Collisions,Cyclist Passenger,2 Wheels,12,1,1,0,0,0,0,0,0,0,0,0,0,0,54,59,6
Major Arterial,North York,Mid-Block,Other,No Control,Clear,Daylight,Wet,Pedestrian Collisions,Driver,Bus,9,0,0,0,0,1,0,0,0,0,0,0,1,0,54,44,11
Major Arterial,North York,Mid-Block,Non Intersection,No Control,Clear,Dark,Dry,Rear End,Driver,Automobile,20,0,1,0,0,0,0,1,1,0,0,0,0,1,23,1,5
Major Arterial,North York,Intersection,Other,No Control,Clear,Daylight,Dry,Pedestrian Collisions,Vehicle Owner,Other,9,0,1,0,0,0,0,0,1,0,0,0,1,0,33,52,9
Major Arterial,Etobicoke York,Mid-Block,Other,No Control,Clear,Daylight,Dry,Rear End,Driver,Automobile,17,0,1,0,1,0,0,0,1,0,0,0,0,0,22,10,8
Minor Arterial,North York,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Turning Movement,Motorcycle Passenger,2 Wheels,17,0,1,1,0,0,0,1,1,0,0,0,0,0,13,108,6
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Turning Movement,Passenger,Other,20,0,1,0,0,0,0,0,0,0,0,0,0,1,41,127,9
Major Arterial,North York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Driver,Automobile,16,0,1,0,0,0,0,0,1,1,0,0,1,1,32,50,8
Major Arterial,North York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Pedestrian,Other,13,0,0,0,1,0,0,0,0,0,0,0,1,0,13,31,1
Minor Arterial,Toronto and East York,Intersection,Other,Traffic Signal,Other,Dark,Dry,Angle,Driver,Automobile,23,0,1,0,0,0,0,0,1,1,0,0,0,0,14,80,11
Major Arterial,Scarborough,Mid-Block,At/Near Private Drive,No Control,Clear,Dark,Dry,Turning Movement,Driver,Automobile,22,0,1,0,0,0,0,0,1,0,0,0,0,0,42,131,7
Major Arterial,Etobicoke York,Mid-Block,Other,No Control,Snow,Dark,Wet,Approaching,Passenger,Other,3,0,1,0,0,0,0,1,1,0,0,0,0,1,23,2,4
Major Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Driver,Automobile,10,0,1,0,0,0,0,0,0,0,0,0,1,0,14,81,11
Major Arterial,North York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Turning Movement,Motorcycle Passenger,2 Wheels,20,0,1,1,0,0,0,1,1,1,0,0,0,0,32,34,7
Collector,Scarborough,Intersection,Other,No Control,Clear,Daylight,Dry,Pedestrian Collisions,Pedestrian,Other,10,0,1,0,0,0,0,0,0,0,0,0,1,0,42,117,5
Collector,Etobicoke York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Angle,Motorcycle Passenger,2 Wheels,16,0,1,1,0,0,0,0,1,1,0,0,0,1,12,111,8
Major Arterial,Etobicoke York,Mid-Block,Other,No Control,Clear,Daylight,Dry,Pedestrian Collisions,Other,Other,15,0,1,0,0,0,0,0,0,0,0,0,1,0,23,6,6
Major Arterial,Scarborough,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Pedestrian Collisions,Pedestrian,Other,14,0,0,1,0,0,0,1,1,0,0,0,1,0,42,117,6
Major Arterial,North York,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Pedestrian Collisions,Truck Driver,Truck,10,0,1,0,1,0,0,0,1,0,0,0,1,1,53,99,8
Major Arterial,Toronto and East York,Mid-Block,Non Intersection,No Control,Clear,Dark,Dry,SMV Other,Passenger,Other,6,0,1,0,0,0,0,1,1,0,0,0,0,1,51,73,3
Collector,Scarborough,Intersection,At Intersection,No Control,Clear,Dark,Dry,SMV Other,Passenger,Other,1,0,1,0,0,0,0,0,0,0,0,0,0,1,43,137,7
Major Arterial,Etobicoke York,Intersection,At Intersection,Traffic Signal,Rain,Dawn,Wet,Pedestrian Collisions,Driver,Bus,5,0,0,0,0,1,0,0,0,0,0,0,1,0,23,1,7
Major Arterial,North York,Mid-Block,Non Intersection,No Control,Other,Dark,Other,SMV Other,Driver,Automobile,23,0,1,0,0,0,0,1,1,0,0,0,0,0,33,49,2
Major Arterial,North York,Intersection,At Intersection,Pedestrian Crossover,Clear,Dark,Dry,Pedestrian Collisions,Pedestrian,Other,20,0,1,0,0,0,0,0,1,0,0,0,1,1,53,56,4
Minor Arterial,Etobicoke York,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Pedestrian Collisions,Driver,Automobile,11,0,1,0,0,0,0,0,0,0,0,0,1,0,22,14,8
Major Arterial,North York,Mid-Block,Non Intersection,No Control,Clear,Dark,Dry,Pedestrian Collisions,Driver,Automobile,0,0,1,0,0,0,0,0,1,0,0,0,1,0,32,50,9
Minor Arterial,North York,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Angle,Driver,Automobile,5,0,1,0,0,0,0,0,1,1,0,0,0,1,13,108,2
Major Arterial,Toronto and East York,Mid-Block,Other,No Control,Clear,Dark,Dry,Pedestrian Collisions,Pedestrian,Other,14,0,0,0,0,1,0,0,0,0,0,0,1,0,13,92,12
Minor Arterial,Etobicoke York,Intersection,At Intersection,Traffic Signal,Rain,Dark,Wet,Pedestrian Collisions,Driver,Automobile,19,0,1,0,0,0,0,0,1,0,0,0,1,0,12,110,10
Local,North York,Mid-Block,At/Near Private Drive,No Control,Clear,Daylight,Dry,Pedestrian Collisions,Driver,Automobile,12,0,1,0,0,0,0,0,1,0,0,0,1,0,31,27,9
Minor Arterial,Scarborough,Mid-Block,Non Intersection,No Control,Clear,Dark,Dry,Pedestrian Collisions,Driver,Automobile,23,0,1,0,0,0,0,0,0,0,0,0,1,1,43,137,7
Major Arterial,Toronto and East York,Mid-Block,Non Intersection,No Control,Clear,Dark,Dry,Approaching,Driver,Automobile,18,0,1,0,0,0,0,0,0,0,0,0,0,1,54,58,11
Major Arterial,Toronto and East York,Intersection,Other,Traffic Signal,Clear,Daylight,Dry,Turning Movement,Driver,Automobile,16,0,1,1,0,0,0,0,1,0,0,0,0,0,55,70,8
Major Arterial,North York,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Cyclist Collisions,Vehicle Owner,Other,8,1,0,0,1,0,0,0,0,0,0,0,0,0,53,103,4
Collector,North York,Mid-Block,Other,No Control,Clear,Daylight,Dry,Approaching,Driver,Automobile,13,0,1,0,0,0,0,0,0,0,0,0,0,0,32,32,12
Major Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Cyclist Collisions,Cyclist Passenger,2 Wheels,21,1,1,0,0,0,0,0,1,0,0,0,0,0,53,98,10
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Rear End,Truck Driver,Truck,13,0,1,0,1,0,0,0,1,0,0,0,0,0,43,137,11
Major Arterial,Toronto and East York,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Cyclist Collisions,Driver,Automobile,18,1,1,0,0,0,0,0,1,0,0,0,0,0,14,83,12
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Pedestrian Collisions,Pedestrian,Other,23,0,1,0,0,0,0,0,0,0,0,0,1,0,42,129,8
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Truck Driver,Truck,11,0,0,0,1,0,0,0,1,0,0,0,1,0,41,119,12
Major Arterial,Etobicoke York,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Pedestrian Collisions,Driver,Automobile,17,0,1,0,0,0,0,0,0,0,0,0,1,0,23,6,11
Major Arterial,Etobicoke York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Angle,Driver,Automobile,12,0,1,0,0,0,0,0,1,1,0,0,0,1,23,1,1
Major Arterial,Toronto and East York,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Cyclist Collisions,Driver,Van,18,1,1,0,0,0,0,0,1,0,0,0,0,0,14,83,12
Minor Arterial,Scarborough,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Pedestrian Collisions,Vehicle Owner,Other,7,0,0,0,1,0,0,0,0,0,0,0,1,0,41,123,5
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Turning Movement,Driver,Automobile,16,0,1,0,0,0,0,0,1,1,0,1,0,0,42,128,1
Major Arterial,North York,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Pedestrian Collisions,Pedestrian,Other,19,0,0,0,0,1,0,0,0,0,0,0,1,0,42,118,12
Minor Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Driver,Automobile,7,0,1,0,0,0,0,0,1,0,0,0,1,0,43,136,11
Major Arterial,Toronto and East York,Intersection,Other,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Pedestrian,Other,13,0,1,0,0,0,0,0,1,0,0,0,1,1,52,77,7
Major Arterial,Scarborough,Intersection,Other,Traffic Signal,Clear,Daylight,Dry,Approaching,Driver,Automobile,9,0,1,0,0,0,0,0,0,0,0,0,0,0,41,125,12
Major Arterial,Toronto and East York,Intersection,Other,No Control,Rain,Dark,Wet,Pedestrian Collisions,Pedestrian,Other,2,0,1,0,0,0,0,0,0,0,1,0,1,0,14,79,4
Major Arterial,Toronto and East York,Mid-Block,Non Intersection,No Control,Clear,Dusk,Dry,Pedestrian Collisions,Pedestrian,Other,18,0,1,0,0,0,0,0,0,0,0,0,1,0,51,75,9
Major Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Angle,Passenger,Other,2,0,1,0,0,0,0,0,1,1,0,0,0,1,51,75,6
Major Arterial,North York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Driver,Automobile,14,0,1,0,0,0,0,0,1,0,0,0,1,0,53,39,12
Major Arterial,Etobicoke York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Wet,Angle,Driver,Van,14,0,1,0,1,0,0,0,1,1,0,1,0,0,31,22,1
Major Arterial,Toronto and East York,Intersection,Other,No Control,Clear,Daylight,Dry,Pedestrian Collisions,Driver,Bus,15,0,0,0,0,1,0,0,0,0,0,0,1,0,13,94,10
Major Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Driver,Automobile,13,0,1,0,0,0,0,0,1,0,0,0,1,0,14,77,8
Minor Arterial,Scarborough,Mid-Block,Other,No Control,Snow,Dark,Snow,Pedestrian Collisions,Driver,Automobile,7,0,1,0,0,0,0,1,1,0,0,0,1,0,42,116,2
Major Arterial,Toronto and East York,Intersection,Other,Traffic Signal,Clear,Daylight,Dry,Cyclist Collisions,Vehicle Owner,Other,16,1,1,0,0,0,0,0,1,1,0,0,0,0,14,77,2
Collector,Etobicoke York,Mid-Block,Non Intersection,No Control,Clear,Dark,Dry,SMV Other,Driver,Van,2,0,1,0,0,0,0,1,1,0,0,0,0,1,23,7,2
Major Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Clear,Dark,Wet,Pedestrian Collisions,Passenger,Other,2,0,1,0,0,0,0,0,0,0,0,0,1,1,14,77,1
