ROAD_CLASS,DISTRICT,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,IMPACTYPE,INVTYPE,INJURY,VEHTYPE,HOUR,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,PEDESTRIAN,PASSENGER,POLICE_DIVISION,HOOD_ID,month
Major Arterial,Etobicoke York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Pedestrian,Major,Other,13,0,1,0,0,0,0,0,1,0,0,0,1,0,12,28,8
Major Arterial,North York,Intersection,Other,Traffic Signal,Clear,Dawn,Other,Pedestrian Collisions,Driver,None,Automobile,7,0,1,0,0,0,0,0,0,0,0,0,1,0,33,45,12
Major Arterial,North York,Intersection,At Intersection,Traffic Signal,Snow,Daylight,Slush,Rear End,Driver,Major,Automobile,12,0,1,0,0,0,0,0,1,0,0,0,0,0,41,119,12
Major Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,SMV Other,Driver,Major,Automobile,7,0,1,0,0,0,0,1,1,0,1,0,0,0,55,63,8
Major Arterial,Toronto and East York,Mid-Block,Non Intersection,No Control,Clear,Dark,Dry,Sideswipe,Driver,None,Automobile,22,0,1,0,0,0,0,0,0,0,0,0,0,1,52,77,5
Expressway,North York,Mid-Block,Non Intersection,No Control,Clear,Daylight,Wet,Rear End,Driver,Major,Automobile,6,0,1,0,0,0,0,0,1,0,0,0,0,1,33,42,3
Major Arterial,North York,Intersection,At Intersection,Traffic Signal,Clear,Dark,Wet,Turning Movement,Driver,None,Automobile,20,0,1,0,0,0,0,0,0,0,0,0,0,1,54,43,12
Major Arterial,Toronto and East York,Intersection,Other,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Pedestrian,Minor,Other,13,0,1,0,0,0,0,0,1,0,0,0,1,1,52,77,7
Minor Arterial,Etobicoke York,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Approaching,Driver,Fatal,Automobile,18,0,1,0,0,0,0,1,1,0,0,0,0,1,22,14,5
Local,Scarborough,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Cyclist Collisions,Driver,None,Automobile,13,1,1,0,0,0,0,0,1,0,0,0,0,0,42,132,6
Major Arterial,North York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Turning Movement,Driver,Minor,Automobile,16,0,1,0,0,0,0,0,0,0,0,0,0,1,33,40,5
Minor Arterial,Etobicoke York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Driver,None,Automobile,8,0,1,0,0,0,0,0,0,0,0,0,1,0,22,11,11
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Turning Movement,Driver,Minor,Automobile,20,0,1,0,0,0,0,0,0,0,0,0,0,1,42,118,10
Major Arterial,Toronto and East York,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Pedestrian Collisions,Pedestrian,Minor,Other,15,0,1,0,0,0,0,0,0,0,0,0,1,0,52,76,8
Minor Arterial,Etobicoke York,Mid-Block,Other,Pedestrian Crossover,Rain,Dark,Wet,Pedestrian Collisions,Driver,None,Automobile,19,0,1,0,0,0,0,0,0,0,0,0,1,0,23,1,2
Major Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Cyclist Collisions,Cyclist Passenger,Major,2 Wheels,15,1,1,0,0,0,0,0,0,0,0,0,0,0,14,82,8
Major Arterial,Etobicoke York,Mid-Block,At/Near Private Drive,No Control,Clear,Dusk,Dry,Cyclist Collisions,Cyclist Passenger,Major,2 Wheels,17,1,1,0,0,0,0,0,1,0,0,0,0,0,31,26,11
Local,Etobicoke York,Intersection,At Intersection,No Control,Clear,Dark,Dry,Pedestrian Collisions,Driver,None,Automobile,20,0,1,0,0,0,0,0,1,0,0,0,1,0,22,11,9
Major Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Cyclist Collisions,Driver,None,Automobile,12,1,1,0,0,0,0,0,0,0,0,0,0,0,52,76,7
Major Arterial,Toronto and East York,Intersection,Other,No Control,Clear,Daylight,Dry,Pedestrian Collisions,Driver,None,Automobile,15,0,1,0,0,0,0,0,0,0,0,0,1,0,51,73,5
Major Arterial,North York,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Turning Movement,Driver,Minor,Automobile,21,0,1,0,0,0,0,0,1,0,0,0,0,1,32,34,5
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Turning Movement,Driver,None,Automobile,14,0,1,1,0,0,0,0,1,0,0,0,0,0,42,117,10
Minor Arterial,Etobicoke York,Mid-Block,Other,No Control,Clear,Dark,Dry,Approaching,Passenger,Minor,Other,3,0,1,0,0,0,0,0,1,0,1,0,0,1,12,112,9
Local,Toronto and East York,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Pedestrian Collisions,Vehicle Owner,None,Other,9,0,1,0,0,0,0,0,1,0,0,0,1,0,54,54,2
Major Arterial,North York,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Rear End,Driver,Major,Automobile,12,0,1,0,0,0,0,0,1,0,0,0,0,0,33,52,3
Minor Arterial,Scarborough,Intersection,At Intersection,No Control,Clear,Dark,Dry,SMV Other,Driver,Major,Automobile,23,0,1,0,0,0,0,1,1,0,0,0,0,0,42,132,9
Collector,Toronto and East York,Mid-Block,Non Intersection,No Control,Rain,Daylight,Wet,Pedestrian Collisions,Pedestrian,Major,Other,16,0,1,0,0,0,0,0,0,0,0,0,1,0,53,104,1
Minor Arterial,Toronto and East York,Intersection,At Intersection,Pedestrian Crossover,Clear,Daylight,Wet,Approaching,Driver,None,Automobile,9,0,1,0,0,0,0,0,1,0,0,0,0,0,11,86,1
Major Arterial,Scarborough,Intersection,Other,Traffic Signal,Clear,Daylight,Dry,Turning Movement,Driver,Major,Automobile,11,0,1,0,0,0,0,0,1,1,0,0,0,0,42,117,11
Major Arterial,Etobicoke York,Intersection,Other,No Control,Clear,Daylight,Dry,Rear End,Vehicle Owner,None,Other,17,0,1,0,0,0,0,0,1,0,0,0,0,1,23,4,9
Major Arterial,Scarborough,Intersection,At Intersection,No Control,Clear,Dusk,Dry,Pedestrian Collisions,Pedestrian,Fatal,Other,18,0,1,0,0,0,0,0,0,0,0,0,1,0,41,119,12
Collector,Toronto and East York,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Cyclist Collisions,Passenger,None,Other,17,1,1,0,0,0,0,0,1,0,0,0,0,1,14,81,7
Major Arterial,North York,Intersection,Other,Traffic Signal,Rain,Dark,Wet,Pedestrian Collisions,Pedestrian,Major,Other,20,0,1,0,0,0,0,0,1,0,0,0,1,0,32,26,10
Major Arterial,Toronto and East York,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Sideswipe,Driver,Minor,Automobile,18,0,1,0,1,0,0,0,0,0,0,0,0,0,51,75,6
Major Arterial,North York,Mid-Block,Other,No Control,Clear,Dark,Dry,Pedestrian Collisions,Driver,None,Automobile,21,0,1,0,0,0,0,0,0,0,0,0,1,0,53,55,8
Major Arterial,Etobicoke York,Mid-Block,Other,No Control,Clear,Daylight,Dry,Rear End,Driver,Minor,Automobile,17,0,1,0,1,0,0,0,1,0,0,0,0,0,22,10,8
Major Arterial,Toronto and East York,Intersection,At Intersection,No Control,Clear,Dark,Dry,Pedestrian Collisions,Pedestrian,Fatal,Other,0,0,0,0,0,1,0,0,0,0,0,0,1,0,55,70,1
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Pedestrian Collisions,Driver,None,Automobile,20,0,1,0,0,0,0,0,0,0,0,0,1,0,41,138,2
Major Arterial,Etobicoke York,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Turning Movement,Driver,Major,Automobile,12,0,1,0,0,0,0,0,1,0,0,0,0,1,22,13,9
Collector,Toronto and East York,Intersection,Other,Stop Sign,Clear,Daylight,Dry,Pedestrian Collisions,Pedestrian,Major,Other,17,0,1,0,0,0,0,0,1,0,0,0,1,0,54,61,9
Major Arterial,Etobicoke York,Intersection,Other,Traffic Signal,Rain,Dark,Wet,Pedestrian Collisions,Driver,None,Automobile,21,0,1,0,0,0,0,0,1,0,0,0,1,0,23,3,10
Major Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Vehicle Owner,None,Other,11,0,1,0,0,0,0,0,1,0,0,0,1,0,11,88,10
Minor Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Pedestrian,Fatal,Other,10,0,0,0,1,0,0,0,1,0,0,0,1,0,55,68,10
Major Arterial,North York,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Turning Movement,Passenger,Minor,Other,19,0,1,0,0,0,0,1,1,0,0,0,0,1,32,50,7
Major Arterial,Toronto and East York,Mid-Block,Other,No Control,Rain,Daylight,Slush,Approaching,Driver,Minor,Automobile,14,0,1,0,0,0,0,1,1,0,0,0,0,0,54,58,1
Major Arterial,North York,Mid-Block,Non Intersection,No Control,Snow,Dark,Ice,Approaching,Passenger,Major,Other,19,0,1,0,0,0,0,1,1,0,0,0,0,1,33,46,4
Major Arterial,Etobicoke York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Angle,Driver,None,Automobile,17,0,1,0,0,0,0,0,1,1,0,0,0,0,12,30,3
Minor Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Rain,Dark,Wet,Pedestrian Collisions,Pedestrian,Minor,Other,21,0,1,0,0,0,0,0,1,1,0,0,1,0,51,72,11
Major Arterial,Etobicoke York,Mid-Block,At Intersection,No Control,Clear,Dark,Dry,Rear End,Driver,Minor,Automobile,1,0,1,0,0,0,0,0,0,0,1,0,0,0,12,110,8
Major Arterial,North York,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Pedestrian Collisions,Pedestrian,Fatal,Other,0,0,0,0,1,0,0,0,1,0,0,0,1,0,13,107,7
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Rain,Dark,Wet,Pedestrian Collisions,Vehicle Owner,None,Other,20,0,1,0,0,0,0,1,1,0,0,0,1,1,41,126,9
Major Arterial,North York,Intersection,At Intersection,Pedestrian Crossover,Clear,Daylight,Wet,Pedestrian Collisions,Pedestrian,Major,Other,13,0,1,0,0,0,0,0,0,0,0,0,1,0,53,56,1
Major Arterial,North York,Intersection,At Intersection,Other,Clear,Dark,Dry,Rear End,Driver,None,Automobile,21,0,1,0,0,0,0,0,0,0,0,1,0,0,53,39,5
Minor Arterial,Etobicoke York,Intersection,Other,No Control,Clear,Daylight,Dry,Pedestrian Collisions,Pedestrian,Major,Other,13,0,1,0,0,0,0,0,0,0,0,0,1,0,22,14,12
Minor Arterial,North York,Intersection,Other,No Control,Clear,Dark,Dry,Rear End,Driver,Major,Automobile,20,0,1,0,0,0,0,1,1,0,0,1,0,0,32,50,4
Minor Arterial,Etobicoke York,Intersection,Other,No Control,Clear,Daylight,Dry,Sideswipe,Vehicle Owner,None,Other,10,0,1,0,0,1,0,0,0,0,0,0,0,0,22,14,1
Major Arterial,Etobicoke York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Pedestrian,Major,Other,17,0,1,0,0,0,0,0,0,0,0,0,1,0,22,16,5
Major Arterial,North York,Intersection,At Intersection,Stop Sign,Clear,Dark,Dry,Angle,Driver,Minor,Automobile,18,0,1,0,0,0,0,0,1,0,0,0,0,1,32,51,1
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Approaching,Driver,None,Automobile,13,0,1,0,0,0,0,0,1,0,0,0,0,1,43,136,7
Major Arterial,Toronto and East York,Intersection,Other,No Control,Clear,Daylight,Dry,Turning Movement,Other,None,Other,8,0,1,0,0,0,0,0,1,0,0,0,0,1,51,73,3
Major Arterial,Toronto and East York,Intersection,At Intersection,No Control,Clear,Dark,Dry,Turning Movement,Driver,Major,Automobile,23,0,1,0,0,0,0,0,0,0,0,0,0,1,52,79,8
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Driver,None,Automobile,14,0,1,0,0,0,0,0,1,1,0,0,1,0,41,119,7
Major Arterial,Scarborough,Intersection,Other,Traffic Signal,Clear,Dark,Wet,Rear End,Driver,None,Automobile,4,0,1,0,0,0,0,0,1,1,0,0,0,1,41,126,12
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Pedestrian,Major,Other,7,0,1,0,0,0,0,0,0,0,0,0,1,0,43,140,5
Major Arterial,Toronto and East York,Intersection,Other,Traffic Signal,Rain,Dark,Wet,Pedestrian Collisions,Vehicle Owner,None,Other,19,0,1,0,0,0,0,0,0,0,0,0,1,0,55,65,6
Major Arterial,North York,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Pedestrian Collisions,Pedestrian,Major,Other,4,0,0,0,1,0,0,0,0,0,0,0,1,0,32,26,1
Local,North York,Mid-Block,Other,No Control,Clear,Daylight,Dry,Pedestrian Collisions,Driver,None,Automobile,11,0,1,0,0,0,0,0,0,0,0,0,1,0,32,37,7
Major Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Pedestrian,Major,Other,13,0,1,0,0,0,0,0,1,0,0,0,1,0,14,80,2
Minor Arterial,Scarborough,Mid-Block,Other,No Control,Clear,Dark,Dry,Sideswipe,Motorcycle Passenger,Minor,2 Wheels,0,0,0,1,0,0,0,0,0,0,0,0,0,0,42,131,9
Minor Arterial,Toronto and East York,Intersection,Other,No Control,Clear,Daylight,Dry,Approaching,Driver,Major,Automobile,14,0,1,0,0,1,0,0,0,0,0,0,0,0,14,84,2
Major Arterial,North York,Intersection,Non Intersection,No Control,Clear,Dark,Dry,SMV Other,Passenger,Major,Other,20,0,1,0,0,0,0,0,0,0,1,0,0,1,53,39,11
Collector,Scarborough,Intersection,At Intersection,No Control,Clear,Dark,Dry,Pedestrian Collisions,Driver,None,Automobile,19,0,1,0,0,0,0,0,1,0,1,0,1,0,43,140,12
Major Arterial,North York,Mid-Block,Other,No Control,Clear,Daylight,Dry,Pedestrian Collisions,Driver,None,Automobile,8,0,1,0,0,0,0,0,0,0,0,0,1,1,32,36,12
Major Arterial,Etobicoke York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Pedestrian,Major,Other,16,0,1,0,0,0,0,0,1,0,0,0,1,0,31,25,2
Other,Toronto and East York,Mid-Block,Other,No Control,Clear,Daylight,Dry,SMV Other,Driver,None,Automobile,11,0,1,0,0,0,0,1,1,0,0,1,0,1,54,57,11
Major Arterial,Etobicoke York,Intersection,At Intersection,Stop Sign,Rain,Daylight,Wet,Angle,Truck Driver,Minor,Truck,17,0,1,0,1,0,0,0,1,0,0,0,0,1,12,110,6
Collector,Toronto and East York,Mid-Block,Non Intersection,No Control,Clear,Dark,Dry,Pedestrian Collisions,Passenger,None,Other,1,0,1,0,0,0,0,0,0,0,0,0,1,1,51,74,12
Major Arterial,Toronto and East York,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Cyclist Collisions,Driver,None,Automobile,7,1,1,0,0,0,0,0,1,0,0,0,0,0,52,76,6
Major Arterial,Etobicoke York,Mid-Block,At Intersection,No Control,Clear,Dark,Dry,Rear End,Vehicle Owner,None,Other,1,0,1,0,0,0,0,0,0,0,1,0,0,0,12,110,8
Major Arterial,Scarborough,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Approaching,Driver,None,Automobile,10,0,1,0,0,0,0,1,1,0,0,0,0,1,43,138,11
Minor Arterial,Etobicoke York,Intersection,At Intersection,Traffic Signal,Rain,Dark,Wet,Angle,Driver,Major,Automobile,22,0,1,0,0,0,0,0,1,1,0,0,0,0,23,2,9
Minor Arterial,Etobicoke York,Mid-Block,Other,No Control,Clear,Daylight,Dry,Pedestrian Collisions,Pedestrian,Major,Other,13,0,1,0,0,0,0,0,0,0,0,0,1,0,22,17,5
Minor Arterial,Toronto and East York,Mid-Block,Other,No Control,Clear,Dark,Dry,Pedestrian Collisions,Driver,None,Automobile,0,0,1,0,0,1,0,0,1,0,0,0,1,0,55,68,3
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Rear End,Driver,Major,Van,21,0,1,0,0,0,0,1,1,0,1,0,0,1,42,117,4
Major Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Clear,Dawn,Dry,Pedestrian Collisions,Pedestrian,Major,Other,6,0,1,0,0,0,0,0,1,0,0,0,1,0,52,76,9
Major Arterial,Toronto and East York,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Cyclist Collisions,Driver,None,Automobile,16,1,1,0,0,0,0,0,0,0,0,0,0,0,53,97,9
Major Arterial,North York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Driver,None,Bus,21,0,0,0,0,1,0,0,0,0,0,0,1,0,13,102,3
